L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
40,10,3,0.5,0.7,8,0.03875,0.006993006993006993,1000001,True,0.0
20,20,3,0.05,0.7,3,0.9315789473684211,0.25,1000001,True,0.0
20,20,3,0.5,0.3,1,0.885,0.125,1000001,True,0.0
20,20,3,0.05,0.7,4,0.36578947368421055,0.125,1000001,True,0.0
20,20,3,0.5,0.3,2,0.8,0.16666666666666669,1000001,True,0.0
20,20,3,0.05,0.7,5,0.4631578947368421,0.25,1000001,True,0.0
20,20,3,0.5,0.3,4,0.97,0.2,1000001,True,0.0
20,20,3,0.5,0.3,3,0.565,0.09090909090909091,1000001,True,0.0
20,20,3,0.5,0.3,5,0.935,0.1,1000001,True,0.0
20,20,3,0.5,0.3,6,0.915,0.07692307692307693,1050001,True,0.04715300000000321
20,20,3,0.05,0.7,6,0.7315789473684211,0.1111111111111111,1050001,True,0.0053699999999980855
20,20,3,0.05,0.7,7,0.24473684210526317,0.07142857142857142,1050001,True,0.0026315789473697272
20,20,3,0.05,0.7,8,0.8552631578947368,0.2,1050001,True,0.006064315789472868
20,20,3,0.05,0.7,9,0.8157894736842105,0.25,1000001,True,0.0
20,20,3,0.05,0.7,10,0.8736842105263158,0.25,1000001,True,0.0
20,20,3,0.5,0.3,7,0.975,0.33333333333333337,1050001,True,0.009548999999994512
20,20,3,0.5,0.3,8,0.69,0.14285714285714288,1000001,True,0.0
20,20,3,0.5,0.3,9,0.955,0.2,1000001,True,0.0
20,20,3,0.5,0.3,10,0.945,0.1,1000001,True,0.0
20,20,3,0.5,0.7,1,0.075,0.024390243902439025,1000001,True,0.0
20,20,3,0.5,0.7,2,0.11,0.027777777777777776,1000001,True,0.0
20,20,3,0.5,0.7,3,0.05,0.022727272727272728,1000001,True,0.0
20,20,3,0.5,0.7,4,0.12,0.022222222222222223,1000001,True,0.0
20,20,3,0.5,0.7,5,0.11,0.022222222222222223,1000001,True,0.0
20,20,3,0.5,0.7,6,0.06,0.021739130434782608,1000001,True,0.0
20,20,3,0.5,0.7,7,0.06,0.023255813953488372,1000001,True,0.0
20,20,3,0.5,0.7,8,0.115,0.027027027027027025,1000001,True,0.0
20,20,3,0.5,0.7,9,0.105,0.025641025641025644,1000001,True,0.0
20,20,3,0.5,0.7,10,0.085,0.025,1000001,True,0.0
30,20,3,0.05,0.3,1,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,3,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,5,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,9,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,10,1.0,1.0,1000001,True,0.0
30,20,3,0.05,0.3,4,0.9964912280701754,0.25,1050001,True,0.0022489590643272822
30,20,3,0.05,0.3,6,0.9988304093567252,0.5,1050001,True,0.001341005847952273
30,20,3,0.05,0.7,2,0.7777777777777778,0.125,1000001,True,0.0
30,20,3,0.05,0.3,8,0.9953216374269006,0.3333333333333333,1050001,True,0.002036584795320545
30,20,3,0.05,0.7,3,0.8725146198830409,0.16666666666666666,1000001,True,0.0
30,20,3,0.05,0.7,1,0.7508771929824561,0.14285714285714285,1050001,True,0.0011695906432738735
30,20,3,0.05,0.7,6,0.9415204678362573,0.5,1000001,True,0.0
30,20,3,0.05,0.7,7,0.9614035087719298,0.5,1000001,True,0.0
30,20,3,0.05,0.7,5,0.8596491228070176,0.2,1000001,True,0.0
30,20,3,0.5,0.3,1,0.6733333333333333,0.1,1000001,True,0.0
30,20,3,0.5,0.3,2,0.9866666666666667,0.2,1050001,True,0.003987911111109945
30,20,3,0.05,0.7,4,0.8245614035087719,0.14285714285714285,1050001,True,0.0011695906432738735
30,20,3,0.5,0.3,3,0.9488888888888889,0.0909090909090909,1050001,True,0.013125333333330456
30,20,3,0.05,0.7,8,0.8456140350877193,0.16666666666666666,1000001,True,0.0
30,20,3,0.05,0.7,10,0.9695906432748538,0.3333333333333333,1050001,True,0.0011695906432738735
30,20,3,0.05,0.7,9,0.49122807017543857,0.0625,1050001,True,0.0030836023391836846
30,20,3,0.5,0.3,4,0.6155555555555555,0.0625,1000001,True,0.0
30,20,3,0.5,0.3,5,0.8466666666666667,0.14285714285714288,1000001,True,0.0
30,20,3,0.5,0.3,6,0.9977777777777778,0.5,1000001,True,0.0
30,20,3,0.5,0.3,7,0.9488888888888889,0.14285714285714288,1000001,True,0.0
30,20,3,0.5,0.3,8,0.98,0.3333333333333333,1000001,True,0.0
30,20,3,0.5,0.3,9,0.9955555555555555,0.3333333333333333,1000001,True,0.0
30,20,3,0.5,0.7,1,0.03333333333333333,0.010752688172043012,1000001,True,0.0
30,20,3,0.5,0.7,2,0.057777777777777775,0.01282051282051282,1000001,True,0.0
30,20,3,0.5,0.3,10,0.9955555555555555,0.3333333333333333,1050001,True,0.005529422222217693
30,20,3,0.5,0.7,3,0.03777777777777778,0.010309278350515465,1000001,True,0.0
30,20,3,0.5,0.7,4,0.04888888888888889,0.012048192771084338,1000001,True,0.0
30,20,3,0.5,0.7,5,0.03777777777777778,0.010526315789473684,1000001,True,0.0
30,20,3,0.5,0.7,7,0.024444444444444446,0.010101010101010102,1000001,True,0.0
30,20,3,0.5,0.7,6,0.035555555555555556,0.011627906976744188,1000001,True,0.0
30,20,3,0.5,0.7,8,0.08444444444444445,0.012195121951219513,1000001,True,0.0
30,20,3,0.5,0.7,9,0.044444444444444446,0.01098901098901099,1000001,True,0.0
30,20,3,0.5,0.7,10,0.03333333333333333,0.009708737864077669,1000001,True,0.0
40,20,3,0.05,0.3,1,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,3,0.9993421052631579,0.5,1000001,True,0.0
40,20,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,6,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,4,0.9993421052631579,0.5,1050001,True,0.0006578947368424318
40,20,3,0.05,0.3,5,0.9986842105263158,0.5,1000001,True,0.0
40,20,3,0.5,0.3,1,0.66875,0.06666666666666667,1000001,True,0.0
40,20,3,0.5,0.3,3,0.96,0.08333333333333334,1000001,True,0.0
40,20,3,0.5,0.3,2,0.48125,0.07692307692307693,1000001,True,0.0
40,20,3,0.05,0.3,9,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,8,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.3,10,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.7,1,0.9828947368421053,0.5,1000001,True,0.0
40,20,3,0.05,0.7,4,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.7,3,0.8157894736842105,0.16666666666666669,1000001,True,0.0
40,20,3,0.05,0.7,5,0.881578947368421,0.2,1000001,True,0.0
40,20,3,0.05,0.7,6,1.0,1.0,1000001,True,0.0
40,20,3,0.05,0.7,7,0.9342105263157895,0.2,1000001,True,0.0
40,20,3,0.05,0.7,2,0.9427631578947369,0.16666666666666669,1050001,True,0.0006578947368424318
40,20,3,0.05,0.7,8,0.8697368421052631,0.08333333333333334,1000001,True,0.0
40,20,3,0.05,0.7,9,0.9565789473684211,0.16666666666666669,1000001,True,0.0
10,40,3,0.05,0.3,1,0.3157894736842105,0.021276595744680854,1050001,True,0.6754926315792349
40,20,3,0.05,0.7,10,0.8822368421052632,0.125,1000001,True,0.0
10,40,3,0.05,0.3,3,0.42105263157894735,0.020833333333333336,1050001,True,0.5631892631575555
10,40,3,0.05,0.3,2,0.23157894736842105,0.02040816326530612,1950001,True,0.7664724210527449
40,20,3,0.5,0.3,4,0.99125,0.125,1000001,True,0.0
40,20,3,0.5,0.3,5,0.99625,0.33333333333333337,1000001,True,0.0
10,40,3,0.05,0.3,10,0.3263157894736842,0.02040816326530612,1050001,True,0.6672787368424761
