C,F,L,N,alpha,converged,degree_variance,dev_mode,dev_param,dis_threshold,elapsed_s,final_rewire_rate,k,max_steps,mean_dissatisfaction,num_clusters,p,q,s_max,seed,total_steps,trial_id,weight_mode
0.42244444444444457,5,6.713557046979866,150,2.0,False,0.2,3,0.15,0.7,1.9253159000072628,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,319ae6dc7d82,3
0.08337362115009173,5,3.5442688183928373,150,0.5,False,14.168888888888905,0,0.15,0.3,1.8504328000126407,-1.0,4,5000000,0.23702401765264008,54,0.1,10,0.16,42,5000000,6b313da72f22,0
0.07563514263514261,5,3.4234460694698354,150,0.5,False,8.356266666666675,2,0.15,0.3,1.594608099985635,-1.0,4,5000000,0.41240133760483344,115,0.1,10,0.05333333333333334,42,5000000,7b0d76bbbf80,0
0.08150511820480859,5,3.5724400871459694,150,0.5,False,13.746666666666664,3,0.15,0.3,1.8809777999995276,-1.0,4,5000000,0.18990035654283038,47,0.1,10,0.14,42,5000000,80eeee55360d,0
0.04732541422771601,5,3.3913084553613606,150,0.5,False,16.718400000000003,0,0.15,0.3,1.9245191999943927,-1.0,4,5000000,0.005236635329554364,5,0.1,10,0.9733333333333334,42,5000000,c17325c76660,2
0.06728024083196496,5,2.935308343409915,150,0.5,False,7.013155555555562,2,0.15,0.3,1.6305036999983713,-1.0,4,5000000,0.04769997081267645,67,0.1,10,0.38,42,5000000,7a5c632de411,2
0.03625411538982173,5,3.369519257284677,150,0.5,False,20.662222222222216,3,0.15,0.3,1.8164429999887943,-1.0,4,5000000,0.0020805440982693633,2,0.1,10,0.9866666666666667,42,5000000,b52e882940ee,2
0.025931216931216926,5,3.533044420368364,150,0.5,False,5.586666666666667,0,0.15,0.3,1.8551840000145603,-1.0,4,5000000,0.0,8,0.1,10,0.9533333333333334,42,5000000,5086c0853b72,3
0.08572168691523532,5,2.461660497091486,150,0.5,False,18.00888888888892,2,0.15,0.3,1.4984918999834917,-1.0,4,5000000,0.0,89,0.1,10,0.41333333333333333,42,5000000,6b36b337fd96,3
0.016633958633958636,5,3.44555002763958,150,0.5,False,5.826666666666667,3,0.15,0.3,1.9488874000089709,-1.0,4,5000000,0.0,16,0.1,10,0.9,42,5000000,72c885b61ca3,3
0.07970649394178803,5,3.296037296037296,150,0.5,False,17.173333333333332,0,0.15,0.5,1.8958779999811668,-1.0,4,5000000,0.08333713253339131,7,0.1,10,0.96,42,5000000,c52766ccb80e,0
0.17328820462691435,5,4.000549828178694,150,0.5,False,15.134400000000005,2,0.15,0.5,1.8225239000166766,-1.0,4,5000000,0.04592508231437178,26,0.1,10,0.43333333333333335,42,5000000,a24f987f0af9,0
0.13440307658935108,5,3.323476617855456,150,0.5,False,16.44,3,0.15,0.5,1.9249487000051886,-1.0,4,5000000,0.07079589067647854,5,0.1,10,0.9733333333333334,42,5000000,e34df0d2749a,0
0.06918602060707325,5,3.574675615212528,150,0.5,False,8.426666666666666,0,0.15,0.5,1.9533458999940194,-1.0,4,5000000,0.004516387714520988,1,0.1,10,1.0,42,5000000,15abcb577907,2
0.07347516641065027,5,5.500816726559948,150,0.5,False,8.619733333333334,2,0.15,0.5,1.7692457000084687,-1.0,4,5000000,5.340288720253553e-07,30,0.1,10,0.74,42,5000000,80e02e4b876c,2
0.05869338069338068,5,3.607964205816555,150,0.5,False,7.653333333333333,3,0.15,0.5,1.7763094000110868,-1.0,4,5000000,0.0026237050993059997,1,0.1,10,1.0,42,5000000,0bcde1120c51,2
0.021428090428090428,5,3.7131674587643277,150,0.5,False,5.253333333333333,0,0.15,0.5,2.0118593999941368,-1.0,4,5000000,0.0,4,0.1,10,0.98,42,5000000,6590dfac0839,3
0.13176216077828978,5,3.758066849949356,150,0.5,False,14.342222222222238,2,0.15,0.5,1.7637910000048578,-1.0,4,5000000,0.0,28,0.1,10,0.7866666666666666,42,5000000,ea7bd56a2366,3
0.04239057239057239,5,3.611589504609462,150,0.5,False,5.64,3,0.15,0.5,1.871547399990959,-1.0,4,5000000,0.0,9,0.1,10,0.94,42,5000000,c24d9a21fbec,3
0.06826970850500262,5,3.5189153932165484,150,0.5,False,11.12,0,0.15,0.7,2.032181699993089,-1.0,4,5000000,0.0702569005638361,3,0.1,10,0.98,42,5000000,34cd338c0313,0
0.08313494055736619,5,3.4602237136465326,150,0.5,False,10.786666666666667,2,0.15,0.7,1.9416356000001542,-1.0,4,5000000,0.0553204387686243,1,0.1,10,1.0,42,5000000,cd13caf080d7,0
0.051949383949383934,5,3.6678759296208963,150,0.5,False,8.626666666666667,3,0.15,0.7,1.9491495999973267,-1.0,4,5000000,0.0560307623197635,2,0.1,10,0.9933333333333333,42,5000000,37b6edb5be0c,0
0.12085714285714289,5,3.981407582078723,150,0.5,False,1.8133333333333332,0,0.15,0.7,1.9712478000146803,-1.0,4,5000000,0.004789354447546982,2,0.1,10,0.9933333333333333,42,5000000,9f30634d9817,2
0.05902468337762454,5,3.6198077271902775,150,0.5,False,8.653333333333334,2,0.15,0.7,1.9437521999934688,-1.0,4,5000000,0.03459826134254165,2,0.1,10,0.9933333333333333,42,5000000,502f82cf61d2,2
0.10652910052910053,5,3.912572706935123,150,0.5,False,2.2933333333333334,3,0.15,0.7,1.899790399998892,-1.0,4,5000000,0.004782298268079498,1,0.1,10,1.0,42,5000000,e155ff71b2b5,2
0.14045502645502644,5,4.072393736017897,150,0.5,False,1.9733333333333334,0,0.15,0.7,1.8330239999922924,-1.0,4,5000000,0.0,1,0.1,10,1.0,42,5000000,bccbeb48caaa,3
